region,species,year,abundance.all,abundance.hatch,abundance.nat
ak.cook,chum,1952,1.254115822,0,1.254115822
ak.cook,chum,1953,1.437735418,0,1.437735418
ak.cook,chum,1954,1.926144857,0,1.926144857
ak.cook,chum,1955,0.957325244,0,0.957325244
ak.cook,chum,1956,2.112816296,0,2.112816296
ak.cook,chum,1957,2.757133988,0,2.757133988
ak.cook,chum,1958,1.562054352,0,1.562054352
ak.cook,chum,1959,1.168185562,0,1.168185562
ak.cook,chum,1960,1.926980756,0,1.926980756
ak.cook,chum,1961,1.155135312,0,1.155135312
ak.cook,chum,1962,2.648376925,0,2.648376925
ak.cook,chum,1963,1.41432345,0,1.41432345
ak.cook,chum,1964,3.116199983,0,3.116199983
ak.cook,chum,1965,1.019812355,0,1.019812355
ak.cook,chum,1966,1.695016072,0,1.695016072
ak.cook,chum,1967,1.10440986,0,1.10440986
ak.cook,chum,1968,2.731600372,0,2.731600372
ak.cook,chum,1969,0.989273379,0,0.989273379
ak.cook,chum,1970,2.362583646,0,2.362583646
ak.cook,chum,1971,1.308092097,0,1.308092097
ak.cook,chum,1972,1.814014,0,1.814014
ak.cook,chum,1973,2.102163,0,2.102163
ak.cook,chum,1974,1.174567,0,1.174567
ak.cook,chum,1975,2.665918,0,2.665918
ak.cook,chum,1976,1.135159,0,1.135159
ak.cook,chum,1977,3.989617919,9.99192E-05,3.989518
ak.cook,chum,1978,1.23856364,7.63967E-06,1.238556
ak.cook,chum,1979,2.778014,0,2.778014
ak.cook,chum,1980,1.38889,0,1.38889
ak.cook,chum,1981,3.653378,0,3.653378
ak.cook,chum,1982,3.248138189,0.007670189,3.240468
ak.cook,chum,1983,2.50397,0,2.50397
ak.cook,chum,1984,1.914503,0.001347,1.913156
ak.cook,chum,1985,2.115526,0.002875,2.112651
ak.cook,chum,1986,2.788494,0.023952,2.764542
ak.cook,chum,1987,1.362051,0.009648,1.352403
ak.cook,chum,1988,2.4323,0.009418,2.422882
ak.cook,chum,1989,1.0034,0.007806,0.995594
ak.cook,chum,1990,0.819829,0.054421,0.765408
ak.cook,chum,1991,0.890939023,0.075871023,0.815068
ak.cook,chum,1992,0.986688,0.003946,0.982742
ak.cook,chum,1993,0.409692,0.042053,0.367639
ak.cook,chum,1994,0.957001,0.082848,0.874153
ak.cook,chum,1995,1.47307,0.118995,1.354075
ak.cook,chum,1996,0.615492,0.024368,0.591124
ak.cook,chum,1997,0.987109,0.001745,0.985364
ak.cook,chum,1998,0.665683,0.000106,0.665577
ak.cook,chum,1999,0.635762756,0,0.635762756
ak.cook,chum,2000,0.680249005,0,0.680249005
ak.cook,chum,2001,0.612993851,0,0.612993851
ak.cook,chum,2002,0.874413676,0,0.874413676
ak.cook,chum,2003,0.569426635,0,0.569426635
ak.cook,chum,2004,1.036268491,0,1.036268491
ak.cook,chum,2005,0.596553123,0,0.596553123
ak.cook,chum,2006,0.595299975,0,0.595299975
ak.cook,chum,2007,0.612750479,0,0.612750479
ak.cook,chum,2008,0.576507124,0,0.576507124
ak.cook,chum,2009,0.619462211,0,0.619462211
ak.cook,chum,2010,0.815444797,0,0.815444797
ak.cook,chum,2011,0.682552496,0,0.682552496
ak.cook,chum,2012,0.86779631,0,0.86779631
ak.cook,chum,2013,0.695975961,0,0.695975961
ak.cook,chum,2014,0.630276667,0,0.630276667
ak.cook,chum,2015,1.271466667,0,1.271466667
ak.cook,pink,1952,4.362691803,0,4.362691803
ak.cook,pink,1953,1.301950906,0,1.301950906
ak.cook,pink,1954,4.665006585,0,4.665006585
ak.cook,pink,1955,2.668393946,0,2.668393946
ak.cook,pink,1956,3.566617266,0,3.566617266
