species,stat.area,year,escapement,cdn.harvest,noncdn.harvest,total.harvest,total.run
chum,1,1954,194398.7465,33372,0,33372,227770.7465
chum,1,1955,79536.00529,6702,0,6702,86238.00529
chum,1,1956,30298.53203,17426,0,17426,47724.53203
chum,1,1957,225122.7332,56541,0,56541,281663.7332
chum,1,1958,35814.98029,8882,0,8882,44696.98029
chum,1,1959,28771.01448,1945,0,1945,30716.01448
chum,1,1960,22266.00077,1862,0,1862,24128.00077
chum,1,1961,39419.90952,820,0,820,40239.90952
chum,1,1962,22076.66402,2984,0,2984,25060.66402
chum,1,1963,16058.53867,4186,0,4186,20244.53867
chum,1,1964,143895.9233,13615,0,13615,157510.9233
chum,1,1965,244736.6717,10017,0,10017,254753.6717
chum,1,1966,141926.8212,21172,0,21172,163098.8212
chum,1,1967,47826.46083,24266,0,24266,72092.46083
chum,1,1968,57351.92382,24530,0,24530,81881.92382
chum,1,1969,68822.30858,36125,0,36125,104947.3086
chum,1,1970,41857.18031,32830,0,32830,74687.18031
chum,1,1971,77610.1885,36421,0,36421,114031.1885
chum,1,1972,14824.41803,49324,0,49324,64148.41803
chum,1,1973,68017.91801,53450,0,53450,121467.918
chum,1,1974,61041.72129,19620,0,19620,80661.72129
chum,1,1975,88074.48358,11337,0,11337,99411.48358
chum,1,1976,84586.38522,2195,0,2195,86781.38522
chum,1,1977,90690.55735,5325,0,5325,96015.55735
chum,1,1978,88946.50817,5923,0,5923,94869.50817
chum,1,1979,49530.9967,6182,0,6182,55712.9967
chum,1,1980,19987.92903,10758,0,10758,30745.92903
chum,1,1981,39351.23527,16682,0,16682,56033.23527
chum,1,1982,107747.4299,12413,0,12413,120160.4299
chum,1,1983,53171.01433,2637,0,2637,55808.01433
chum,1,1984,81200.96167,6279,0,6279,87479.96167
chum,1,1985,97441.15401,55241,0,55241,152682.154
chum,1,1986,128359.9817,105957,0,105957,234316.9817
chum,1,1987,78390.15915,6853,0,6853,85243.15915
chum,1,1988,45128.99601,8101,0,8101,53229.99601
chum,1,1989,29277.82382,5398,0,5398,34675.82382
chum,1,1990,7295.795078,8692,0,8692,15987.79508
chum,1,1991,1897.181884,2956,0,2956,4853.181884
chum,1,1992,9544.16102,9107,0,9107,18651.16102
chum,1,1993,76468.07502,23894,0,23894,100362.075
chum,1,1994,48629.77282,13960,0,13960,62589.77282
chum,1,1995,30041.38302,23918,0,23918,53959.38302
chum,1,1996,9998.644878,944,0,944,10942.64488
chum,1,1997,48609.08169,47218,0,47218,95827.08169
chum,1,1998,50096.31607,2483,0,2483,52579.31607
chum,1,1999,51661.82595,1199,0,1199,52860.82595
chum,1,2000,19952.78453,262,0,262,20214.78453
chum,1,2001,6192.10693,0,0,0,6192.10693
chum,1,2002,11980.93433,16,0,16,11996.93433
chum,1,2003,53416.90345,0,0,0,53416.90345
chum,1,2004,6284.341583,0,0,0,6284.341583
chum,1,2005,3633.546766,0,0,0,3633.546766
chum,1,2006,28750.86274,920,0,920,29670.86274
chum,1,2007,23981.07961,0,0,0,23981.07961
chum,1,2008,26294.86203,0,0,0,26294.86203
chum,1,2009,55804.95326,0,0,0,55804.95326
chum,1,2010,15900,0,0,0,15900
chum,1,2011,40793.93939,0,0,0,40793.93939
chum,1,2012,6115.384615,0,0,0,6115.384615
chum,1,2013,,,,,
chum,1,2014,,,,,
chum,1,2015,7227.272727,,,,
chum,1,2016,9957.575758,,,,
chum,1,2017,,,,,
chum,2,1954,867471.7723,532487,0,532487,1399958.772
chum,2,1955,77338.83375,76660,0,76660,153998.8338
chum,2,1956,232145.0731,130445,0,130445,362590.0731
chum,2,1957,587647.9245,28584,0,28584,616231.9245
chum,2,1958,410618.8517,24064,0,24064,434682.8517
chum,2,1959,122618.7466,14622,0,14622,137240.7466
chum,2,1960,367714.5272,4439,0,4439,372153.5272
chum,2,1961,451308.2431,69668,0,69668,520976.2431
chum,2,1962,558526.2528,108062,0,108062,666588.2528
chum,2,1963,590414.3684,140190,0,140190,730604.3684
